code;parent;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
506;504;Longo;Longo;Longo;Longo
526;516;"V&S, Brit, Carnilove";"V&S, Brit, Carnilove";"V&S, Brit, Carnilove";"V&S, Brit, Carnilove"
778;362;"Primeiros Socorros e Recuperação";"First Aid & Recovery";"Primeros Auxilios y Recuperación";"Primeiros Socorros e Recuperação"
770;370;"Limpeza e WC";"Cleaning & Potty";"Limpieza y WC";"Limpeza e WC"
935;671;"Fontes de Água para Gatos";"Water Fountains for Cats";"Water Fountains for Cats";"Fontes de Água para Gatos"
878;366;Grooming;Grooming;Grooming;Grooming
928;926;"Covid-19: Gatos - Essenciais para Quarentena";"Covid-19: Quarantine Essentials for Cats";"Covid-19: Gatos - Esenciales para Cuarentena";"Covid-19: Gatos - Essenciais para Quarentena"
360;587;"Alimentação Húmida";"Wet Food";"Comida Húmeda";"Alimentação Húmida"
409;405;Rações;Food;Comida;Rações
932;930;"Suplementos para Gatos";"Cat Supplements";"Suplementos para Gatos";"Suplementos para Gatos"
511;509;Castanho;Castanho;Castanho;Castanho
483;487;"Raças Pequenas";"Raças Pequenas";"Raças Pequenas";"Raças Pequenas"
378;364;"Proteção Pele e Pêlo";"Skin & Coat Care";"Protección Piel y Pelo";"Proteção Pele e Pêlo"
484;487;"Raças Médias";"Raças Médias";"Raças Médias";"Raças Médias"
532;418;Farmacológicos;Healthcare;Farmacológicos;Farmacológicos
593;397;"Chasers and Teasers";"Chasers and Teasers";"Chasers and Teasers";"Chasers and Teasers"
606;376;Peluches;"Plush Toys";Peluches;Pelúcias
414;405;Farmacológicos;Healthcare;Farmacológicos;Farmacológicos
692;682;"Peixes Dourados";Goldfish;"Peces Dorados";"Peixes Dourados"
520;517;Brinquedos;Brinquedos;Brinquedos;Brinquedos
745;742;Skipdawg;Skipdawg;Skipdawg;Skipdawg
512;509;Preto;Preto;Preto;Preto
361;587;Snacks;Snacks;Snacks;Snacks
685;737;"Limpeza e Manutenção";"Cleaning & Maintenance";"Limpieza y Mantenimiento";"Limpeza e Manutenção"
507;504;Encaracolado;Encaracolado;Encaracolado;Encaracolado
